nom_produit,ancien_prix,nouveau_prix
UBIQUITI AIRFIBER AF-5XHD ACCESS POINT WIFI,200000,300000
D-LINK Access Point WiFi DAP-1360 / Extender,20000,16000
TP-LINK EAP225-OUTDOOR,65000,85000
TP-LINK RE355,45000,35000
TP-LINK TL-WA801ND,30000,16000
UBIQUITI UNIFI UAP-AC-M-PRO ACCESS POINT WIFI,150000,
Ubiquiti Unifi U6-LR Point d'accès intérieur Wi-Fi 6 Dual Band AX3000,165000,135000
WMARK DENT TONDEUSE BLADE T-3,2500,2000
GIGA 360 1D BARCODE SCANNER USB BC3300,25000,
DELL SOURIS SANS FIL /MOUSE WIRELESS WM123,2000,
CASQUE SAMSUNG LEVEL ACTIVE EO-PN930CB,5000,
HANDBOSS FOAM 530 CLEANER CLEANING AGENT 550ML MOUSSE NETTOY FH-HB036,1000,
LOGITECH CASQUE H110,8000,7500
LOGITECH CASQUE H111,8000,7500
LAVAGE ORDINATEUR 3IN1 / CLEANSER FOR APPLE,750,
LENOVO SOURIS SANS FIL N100,1800,
CLE LEXAR S50 32GB,800,
LOGITECH SOURIS SANS FIL M235,2000,
SONY CASQUE ORDINATEUR PM MDR-E370MV,1800,
SONY CASQUE ORDINATEUR PM MDR-E664MV,1500,
SONY CASQUE ORDINATEUR GM MDR-E666MV,1800,
SONY CASQUE ORDINATEUR GM MDR-E669MV,1500,
SONY CASQUE ORDINATEUR MDR-XB990BT / MDR-XB220BT / A85 / XB800BT,5000,
MERCURY SOURIS AVEC FIL MX 1200/MX 1500 + PORT USB,1500,
SWITCH POE 16F+2G+1S PORT / EL1319P-1SEB / 16 PORT POE,50000,
PROTECTION PACK FOR MACBOOK 12/MON TOUCH BAR 13,5000,
LECTEUR EXTERNE DVD WRITER USB2.0 LG ULTRA SLIM PORTABLE,15000,
CLAVIER + SOURIS SANS FIL TJ-808 / TJ-803,4000,
CLAVIER AVEC FIL USB TJ-818 BLACK ANTELOPE KEYBOARD,1600,
LECTEUR CARTE TRANSCEND RDF8 / ALL IN 1 + CF / USB3.1 GEN 1,12000,
CLAVIER SANS FIL FRANCAIS WB-8022/ BK-3001/ BK-3002 BLANC/ WIRELESS,5000,
LO MASTER TROUSSEAU A OUTILS RS-TR105,0,17500
MANETTE USB ORIGINAL GP-05 USB,3000,
CHARGE KIT / CHARGEUR MANETTE XBOX ONE  HQ,5000,
CONVERTISSEUR PS2 TO USB,1000,
CHARGEUR PSP GO / AC ADAPTOT PSP-N1000,1500,
WIRELESS 5.0 TOUCH ENABLED CONTROL ART-Q8 / CASQUE,4000,
CASQUE MP3+BLUETOOTH BE20BT YWZ,6000,
CASQUE MP3+BLUETOOTH BE30BT YWZ,6000,
CASQUE ORDINATEUR HP H320,15000,
OREILLETTE BLUETOOTH IPHONE 7,2000,
HEADPHONE STEREO CASQUE MP3 + BT 473 WIRELESS,5000,
CASQUE MP3 SIMPLE  8001+,2500,
CASQUE BLUETOOTH SONY WIRELESS K1/K2,4000,
CASQUE MP3+BT KD-28 /KD-26 / KD-24/ ST-10 / V33 / V32 / ST-16 / ST-30,5000,
CASQUE MP3+BT GN-X10,5000,
CASQUE MP3+BT GN-X4/ GN-X5/ GN-X6/GN-X9,4000,
CASQUE BT SANS FIL AY-001/ SM-002/ SN-003,3500,
CASQUE Q1/YE-822/YE-821,5000,
CASQUE BLUETOOTH TIME WELL SQ22,2500,
CABLE IPHONE X,500,
CHARGEUR TELEPHONE 2USB  / 1USB EKA-Q51,1000,
