AR_Ref,FA_CodeFamille,AR_Design,Colonne1,AR_PrixVen,Stock TOTAL
AF5XHD,ACCPOINT,UBIQUITI AIRFIBER AF-5XHD ACCESS POINT WIFI,ACCESS POINT & REPETITEUR,300000,3
APACLITE,ACCPOINT,UBIQUITI UNIFI UAP-AC-LITE ACCESS POINT WIFI UAP AC LITE,ACCESS POINT & REPETITEUR,95000,0
APACPRO,ACCPOINT,UBIQUITI UNIFI UAP AC PRO ACCESS POINT WIFI,ACCESS POINT & REPETITEUR,140000,12
CPE210,ACCPOINT,TP-LINK CPE210 Point d'accès extérieur Wi-Fi N 300 Mbps 2.4GHz 9 dBi,ACCESS POINT & REPETITEUR,30000,0
CPE510,ACCPOINT,TP-LINK CPE510,ACCESS POINT & REPETITEUR,35000,10
CPE520,ACCPOINT,TP-LINK CPE520,ACCESS POINT & REPETITEUR,50000,1
CPE605,ACCPOINT,TP-LINK CPE605,ACCESS POINT & REPETITEUR,40000,0
CPE610,ACCPOINT,TP-LINK EAP610-Outdoor,ACCESS POINT & REPETITEUR,130000,0
DAP1360,ACCPOINT,D-LINK Access Point WiFi DAP-1360 / Extender,ACCESS POINT & REPETITEUR,16000,48
DAP1520,ACCPOINT,D LINK REPETEUR WIFI DAP-1520,ACCESS POINT & REPETITEUR,25000,5
EAP110,ACCPOINT,TP-LINK EAP110,ACCESS POINT & REPETITEUR,32500,14
EAP110OUTDOOR,ACCPOINT,TP-LINK EAP110 Outdoor,ACCESS POINT & REPETITEUR,32500,24
EAP115,ACCPOINT,TP-LINK EAP115,ACCESS POINT & REPETITEUR,35000,0
EAP120,ACCPOINT,TP-LINK EAP120,ACCESS POINT & REPETITEUR,50000,0
EAP220,ACCPOINT,TP-LINK EAP220,ACCESS POINT & REPETITEUR,70000,0
EAP225,ACCPOINT,TP-LINK EAP225,ACCESS POINT & REPETITEUR,75000,11
EAP225OUT,ACCPOINT,TP-LINK EAP225-OUTDOOR,ACCESS POINT & REPETITEUR,85000,3
EAP320,ACCPOINT,TP-LINK EAP320,ACCESS POINT & REPETITEUR,95000,3
EAP330,ACCPOINT,TP-LINK EAP330,ACCESS POINT & REPETITEUR,150000,0
LBE5ACGEN2,ACCPOINT,UBIQUITI LITEBEAM AIRMAX AC LBE-5AC-GEN2 ACCESS POINT WIFI EXTERIEUR,ACCESS POINT & REPETITEUR,65000,4
LBEM523,ACCPOINT,UBIQUITI LITEBEAM AIRMAX LBE-M5-23 ACCESS POINT WIFI EXTERIEUR 23DBI,ACCESS POINT & REPETITEUR,45000,5
LOCOM2,ACCPOINT,UBIQUITI LOCO M2 ACCESS POINT WIFI EXTERIEUR,ACCESS POINT & REPETITEUR,50000,2
NBE5ACGEN2,ACCPOINT,UBIQUITI NANOBEAM AIRMAX AC NBE-5AC-GEN2 ACCESS POINT WIFI,ACCESS POINT & REPETITEUR,80000,1
NS5AC,ACCPOINT,UBIQUITI AIRMAX AC CPE NANOSTATION AC NS-5AC ACCESS POINT WIFI,ACCESS POINT & REPETITEUR,110000,3
NSM2,ACCPOINT,UBIQUITI NANOSTATION M2 NSM2 ACCESS POINT WIFI EXTERIEUR,ACCESS POINT & REPETITEUR,70000,0
NSM5,ACCPOINT,UBIQUITI NANOSTATION M5 NSM5 ACCESS POINT WIFI EXTERIEUR,ACCESS POINT & REPETITEUR,85000,25
OC200,ACCPOINT,TP-LINK Omada OC200,ACCESS POINT & REPETITEUR,65000,3
PBE5AC620,ACCPOINT,UBIQUITI POWERBEAM AIRMAX AC PBE-5AC-620 ACCESS POINT WIFI EXTERIEUR,ACCESS POINT & REPETITEUR,150000,3
PBEM5400,ACCPOINT,UBIQUITI POWERBEAM PBE-M5-400 ACCESS POINT WIFI EXTERIEUR,ACCESS POINT & REPETITEUR,80000,0
RE210,ACCPOINT,TP-LINK RE210,ACCESS POINT & REPETITEUR,27500,0
RE3000,ACCPOINT,LINKSYS RE-3000,ACCESS POINT & REPETITEUR,27500,0
